Pillar Code,Pillar Description,Goal Id,Goal Description,Policy Objective id,Policy Objective Description,Indicator id,Indicator description,Target,SDG Alignment1,SDG Alignment2,SDG Alignment3,SDG Alignment4,SDG Alignment5,Definition,Concept,Rationale,Computation Method,Computation Unit,Proxy,Dissaggregation,Data Source,Frequency of Collection
2,Environment,1,A nation that ensures our food and nutrition security needs are adequately met for all people through increasing sustainable food production systems and improving household production , ENV 1.4,"Improve access to appropriate technology, knowledge and skills in food production, preservation and storage.",ENV1.4.2,"Total number of people receiving training in food storage and preservation per year in MALFFB led, NGO or partnered initiatives.  ","Of all training conducted by MALFFB and NGOs, at least 5% has to be on food preservation and storage",14.4.1 (R) (Tier 1),,,,,"Food storage and preservation is all about caring or treating food in a way that it will keep in good condition for a long period of time or for future use. Food preservation usually involves preventing the growth bacteria, fungi or other micro-organisms into the food.",Food storage and preservation can sustain food production and improve household production. The skills of food storage and preservation is very important and finding the number of people who are trained can be helpful in strengthening the nation’s capacity to improve its food and nutrition security needs.,Depicts the total number of people receiving training in food storage and preservation out of all other trainings conducted by MALFFB and NGOs,"•Total count of people in the Training registration records of MALFFB & NGOs.

•MALFFB Food storage and preservation training participants ÷
Total number of participants in all MALFFB & NGOs trainings",Total Count ,No," Sex, Education level,   Income wealth,   Urban/rural,  Type of food storage & preservation, National ","Administrative data (MALFFB, NGOs)",Annually
2,Environment,1,A nation that ensures our food and nutrition security needs are adequately met for all people through increasing sustainable food production systems and improving household production , ENV 1.4,"Improve access to appropriate technology, knowledge and skills in food production, preservation and storage.",ENV1.4.3,Establishment of land use capability mapping systems to determine which crops and farming systems are best suited to different areas.,Land-use capability map developed for 100% province.,14.4.1 (R) (Tier 1),,,,,"Land-use capability maps are maps created to represent the potential uses of a “unit” of land. They are measured using various indicators, although the most common are five physical factors (rock type, soil type, slope, erosion degree and type and vegetation).",Land-use capability maps must not be confused with land-use maps. Capability maps shows the potential uses usually in relation to farming) whilst the land-use maps show the actual use for the land at the present time.,To establish land-use capability maps to help find suitable areas that are available for crops and farming systems throughout the islands of Vanuatu," * Maps will be designed and created using geographic information system and remote sensing software (QGIS).
* We use the land capability assessment method to assess land suitability for existing and potential agricultural and non-agricultural uses. The method identifies possible physical, chemical and degradation constraints to land use on particular soils and landscapes. This information is then used by planners, managers and advisers to improve sustainable development.",Land area sq.km,No,"Area Council, Province, Urban/rural, National"," department of lands, survey and registry.","6 Monthly, Annually"
2,Environment,1,A nation that ensures our food and nutrition security needs are adequately met for all people through increasing sustainable food production systems and improving household production , ENV 1.5,"Enhance traditional agricultural practices, focusing on disaster risk reduction and climate change adaptation.",ENV1.5.1,Proportion of producers across the productive sector that have undergone Agro-Met training.,Agriculture Census Information required.,"2.3.1 
(Tier 3) ",2.3.2 (Tier 3),,,,"Agrometeorology is the study of weather and use of weather and climate information to enhance or expand agricultural crops and/or to increase crop production. Producers who undergone Agro-met training will benefit the producers a lot in terms of maximising profits at the same time addressing disaster risk reduction, and climate change adaptation response to global warming. ","The application of meteorology to agriculture is essential, since every facet of agricultural activity depends on the weather. This indicator will be studied to determine the proportion of producers that have undergone Agro-Met training. which is related to enhancing traditional agricultural practices that aims to address disaster risk reduction and climate change adaptation.",The rationale is to highlight the proportion of people who have undergone Agro-Met training all across the productive sector in order to promote traditional agricultural practices to address the disaster risk reduction and climate change adaptation. ,"p = x / n
Where:
“x” is the number of items you’re interested in, and
“n” is the total number of items in the population
Note: While “p” is usually used as the symbol for the population proportion, you might also see the letter pi(?) used instead.
",Total count & percentage (%) ,No,"Education level, Sex, Age, Area council level, Provincial level, National level
",Vanuatu Agriculture Census,10 years
2,Environment,2,An economy which fosters sustainable growth and development through low impact industries and modern technologies to ensure the wellbeing of future generations. ,ENV 2.4,Reduce waste and pollution through effective waste management and pollution control.,ENV2.4.1,Number of controlled wasted disposal facilities,At least three provinces have a controlled waste disposal,11.6.1 (Tier 2),,,,,"Waste management (or waste disposal) are the activities and actions required to manage waste from its inception to its final disposal. This includes the collection, transport, treatment and disposal of waste, together with monitoring and regulation of the waste management process.","*Controlled waste disposal facilities are put in place to combat the growing source and extent of pollution and waste disposal throughout the urban areas and the six other provinces.
*Without these facilities, Vanuatu efforts to maintain healthy societies, to stimulate tourism, development and new investment and a sustainable future for its people may be severely undermined.  ",The purpose of this study is to depict the precise number of waste disposal facilities throughout the provinces or islands of Vanuatu aside from the two facilities found in Port Vila and Luganville. So that we can be able to identify the reduction of waste and pollution are reduce to what extent? This study will also indicate whether Vanuatu do really foster sustainable growth and development through low impact industries and modern technologies which ensures the wellbeing of future generations or not. ,"* Collecting updated records of the number of waste disposal facilities in the country.
* Collect GPS coordinates for geospatial mapping of the Geographical locations throughout Vanuatu.","GPS Coordinates, Total Count",No,"Rural/Urban, Provincial, National",Municipal and Provincial Administrative records,Annually
2,Environment,2,An economy which fosters sustainable growth and development through low impact industries and modern technologies to ensure the wellbeing of future generations. ,ENV 2.4,Reduce waste and pollution through effective waste management and pollution control.,ENV2.4.2,Proportion of Vehicles that comply with emission standards.,To assist in Annual report and 6 monthly report supported by sector production data VNS,11.6.2 (Tier 1),,,,,"* Vehicle emissions - Cars, SUVs, and light duty trucks that are fuelled by gasoline, diesel, and E85 emit both greenhouse gases and smog-forming pollutants from their tailpipes
* Emission Standards - Emission standards are the legal requirements governing air pollutants released into the atmosphere. Emission standards set quantitative limits on the permissible amount of specific air pollutants that may be released from specific sources over specific timeframes","proportion of vehicles complying with emission standards is a very important indicator as it measures the extent of the waste and pollution control measures, put in place to combat the rise of waste and pollution impacts on the environment and the wellbeing of the future generations.","Depict the total number of vehicles with approved emission standards out of all the registered vehicles in the country. Basically, to establish and review the waste and pollution policies in order to foster sustainable growth and development through low impacts technologies and modern technologies to ensure the well-being of future generations.","p = x/n multiply 100
Where:
“x” is the total count of vehicles that comply with emission standards 
“n” is the total number of vehicles registered in the country
Note: While “p” is usually used as the symbol for the population proportion, you might also see the letter pi(?) used instead.",Percentage (%),No,"Area Council Level
, Provincial Level, National Level",Roadworthy inspections records as administrative data from Municipalities and Provincial area government.,Annually
2,Environment,2,An economy which fosters sustainable growth and development through low impact industries and modern technologies to ensure the wellbeing of future generations. ,ENV 2.5,Strengthen environmental institutions and governance to meet national and international obligations.,ENV2.5.1,Proportion of targets met in National Environment Policy and Implementation Plan 2016-2030,,13.2.1 (R) (Tier 3),,,,,"The Vanuatu National Environment Policy and Implementation Plan 2016–2030 (NEPIP) is an overarching policy for the sustainable conservation, development and management of the environment of Vanuatu. ... The NEPIP links the NSDP and the various sectors under the environment pillar ","The NEPIP is also part of a wider policy framework and addresses those matters included in the environment pillar of the National Sustainable Development Plan. It is also an indication by the Government in keeping with its commitments on the SAMOA Pathway, Sustainable Development Agenda 2030 and the Sustainable Development Goals.",To depict the actual proportion of targets that have been already achieved in the National Environment Policy and Implementation Plan 2016-2030 and to what extent are the environmental institutions and governance doing so far in trying to meet national and international obligations.  ,"p = x / n
Where:
“x” is the number of targets being met in National Environment Policy and Implementation Plan 2016-2030 and
“n” is the total number of overall targets being met or not at all in NEPIP 2016-2030
Note: While “p” is usually used as the symbol for the population proportion, you might also see the letter pi(?) used instead.","total count, percentage (%)",No,National Level,Department of Environmental Protection & Conservation data records,Annually
2,Environment,2,An economy which fosters sustainable growth and development through low impact industries and modern technologies to ensure the wellbeing of future generations. ,ENV 2.5,Strengthen environmental institutions and governance to meet national and international obligations.,ENV2.5.2,Proportion of environmental obligations within international conventions and treaties met,,,,,,,"The Real Environmental Obligation (ORE) is an instrument created by the French Biodiversity Law of 2016. It allows a landowner to voluntarily implement legally-binding environmental protection measures on their land via a contract with a legal person who becomes the guarantor of the environmental interest. In addition, as these protection measures are directly attached to the parcel of land, they are lasting, remaining in effect beyond future changes in ownership of the property (e.g., sale or succession)","An international environmental agreement or sometimes environmental protocol, is a type of treaty binding in international law, allowing them to reach an environmental goal. In other words, it is ""an intergovernmental document intended as legally binding with a primary stated purpose of preventing or managing human impacts on natural resources",This Study will try to depict the proportion of environmental obligations within the international convention and treaties that are being met inside Vanuatu. The data collected will be analysed to measure the progress of environmental institutions and its governance towards meeting national and international standards. To determine whether or not Vanuatu’s economy can foster sustainable growth and development through low impact industries and modern technologies to ensure the well-being of future generations.,"p = x / n
Where:
“x” is the number of items you’re interested in, and
“n” is the total number of items in the population
Note: While “p” is usually used as the symbol for the population proportion, you might also see the letter pi(?) used instead.",Percentage (%),,National Level,Department of Environmental Protection & Conservation data records,Annually
2,Environment,3,A strong and resilient nation in the face of climate change and disaster risks posed by natural and man-made hazards.,ENV 3.1,"Institutionalise climate change and disaster risk governance, and build institutional capacity and awareness.",ENV3.1.2,"Institutional strengthening of NAB, Department of Climate Change and other MoCC departments.",By 2030 100% of DoCC and National Advisory Board secretariat staff financed by the government.,,,,,,"Vanuatu’s National Advisory Board on Climate Change & Disaster Risk reduction (NAB) is the supreme policy making and advisory body for all disaster risk reduction and climate change programs, projects, initiatives and activities.","The NAB develops DRR and CC policies, guidelines and positions, advises on international and regional DRR and CC obligations, facilitates and endorses the development of new DRR & CC programs, projects, initiatives and activities, acts as a focal point for information ? sharing and coordination on CC/DRR, as well as guides and coordinates the development of national climate finance processes.","The study will highly address the Vanuatu’s society, environment, and economy which are highly vulnerable to climate change and disaster risks.","To retrieve all findings and data on NAB based on;
• Review of policies, guidelines and positions.
• Provide advice on disaster risk reduction and climate change obligations, projects,initiatives and activities.
• Review of audit report of the development of national climate finance processes.
• Review of guidelines and coordination to the development of climate finance processes.",,,"Area council, Rural/Urban, Provincial, National",Vanuatu National Advisory Board,Annually
1,Society,5,"A society where the rule of law is consistently upheld, and access to     timely justice is available to everyone.",SOC 5.3,Build the institutional capacity of national security forces and ensure they are adequately resourced to meet performance targets.,SOC5.3.1,Annual number of community safety assessments carried out by VPF. ,By 2030 – 1 per year,,,,,,"*Institutional capacity is defined as the capability of an institution to set and achieve social and economic goals, through knowledge, skills, systems, and institutions.
*Vanuatu Security Forces will mainly refer to Vanuatu Police Force whose primary role is maintaining internal security, and its 300-strong paramilitary Vanuatu Mobile Force which makes up the country’s external military force. ",*Finding the number of community safety assessments carried out annually by the VPF can be seen as a way forward towards enhancing the institutional capacity of Vanuatu National Security Forces. So that they could perform effectively to meet their targets and at the same time promote a society where the rule of law is constantly upheld and access to timely justice is available to everyone.,* To depict the number of community safety assessments that are carried out by the Vanuatu Police Force annually.,·       Collect total number of community safety assessments of each year through the Police Information Management Systems through MoA’s or MoU’s.,total count,No,"Area council, Rural/Urban, Provincial, National",Police Management Information System.,Annually
1,Society,5,"A society where the rule of law is consistently upheld, and access to     timely justice is available to everyone.",SOC 5.3,Build the institutional capacity of national security forces and ensure they are adequately resourced to meet performance targets.,SOC5.3.2,"Total number of national security forces per 1,000 population.",reach 900 by 2020. ,,,,,,"Security forces - National security or national defence is the security and defence of a nation state, including its citizens, economy, and institutions, which is regarded as a duty of government.","Originally conceived as protection against military attack, national security is now widely understood to include also non-military dimensions, including the security from terrorism, minimization of crime, economic security, energy security, environmental security, food security, cyber-security etc. Similarly, national security risks include, in addition to the actions of other nation states, action by violent non-state actors, by narcotic cartels, and by multinational corporations, and also the effects of natural disasters.","This study will depict the total number of national security forces per 1,000 people inside Vanuatu and the difference between the total number of security forces and the target which is 900 by 2020. ","Sum of national security forces * 100
Target number of NSF by 2020 ",percentage (%),No,"Rural/Urban, National, Sex ,Ethinicity, Age,",Vanuatu police force,Annually
1,Society,5,"A society where the rule of law is consistently upheld, and access to     timely justice is available to everyone.",SOC 5.5,Proportion of population with positive assessment of their chief's ability to resolve disputes peacefully,SOC5.5.3,Proportion of population with positive assessment of their chief's ability to resolve disputes peacefully,maintain above 80%,,,,,,A defining characteristic of a chief is that he is ‘entitled to exercise powers of social control’ over members of his community (Paterson 2004),Proportion of population with positive assessment of their chief's ability to resolve disputes peacefully will be used to measure the strengths of links between traditional and formal justice systems with the role of chiefs in maintaining peace and stability,To depict the level of ability of chiefs to resolve disputes peacefully through the positive assessments by the people in the communities.,"• Collect data through data request forms from Office of the Malvatumauri

•	 p = x / n
Where:
“x” is the number of items you’re interested in, and
“n” is the total number of items in the population
Note: While “p” is usually used as the symbol for the population proportion, you might also see the letter pi(?) used instead.","numeric count, percentage",,"Rural/Urban, Area council, province, national", Office of the Malvatumauri,Annually
1,Society,6,A dynamic public sector with good governance principles and strong institutions delivering the support and services expected by all citizens of Vanuatu.,SOC 6.1,"Enhance the capacity and accountability of public officials, and ensure the impartiality and effectiveness of performance management systems",SOC6.1.1 ,Reduction in annual employment Disciplinary Board decisions.,By 2030 reduce by 50%,16.6.1 (Tier 1) ,,,,,Employment Disciplinary Board is a body where group of senior officials handle staff disciplinary issues and decide on the future of the particular staff based on his/her misconducts or performances.,"Every year employment disciplinary board has issued number of decisions of its staffs according their respectful organisation, but since the NSDP objective is to reduce the annual number of decisions made by employment disciplinary board to 50% by 2030. There is a need to enhance the capacity and accountability of public officials so that they can be able to uphold principles of good governance and strong institutions that will always deliver support and services expected by all citizens of Vanuatu.","To depict the total number of decisions made by employment disciplinary board annually concerning their employees. This study will also compare the figures year by year to find any trends in the data. Whether there is an increase or decrease. Plus, check to see if 50% reduction is achieved or not.","* Collect total number of decisions made by employment disciplinary board every year starting from year (TBD) until 2030.
*  Whether it reduces by 50% or not;
All you need to do is subtract your current year number of decisions by last year's number of decisions, then divide by last year's number of decisions made. Then, you multiply the resulting figure by 50, which provides you with a percentage figure.",percentage (%),No,National level,Public service commision,Annually
1,Society,6,A dynamic public sector with good governance principles and strong institutions delivering the support and services expected by all citizens of Vanuatu.,SOC 6.1,"Enhance the capacity and accountability of public officials, and ensure the impartiality and effectiveness of performance management systems",SOC6.1.2,Annual number of public officials receiving relevant qualifications through VIPAM and other government programs.,By 2030 reduce by 50%,16.6.2 (Tier 3),,,,,VIPAM – The role and function of the Vanuatu Institute of Administration and the public administration management unit is to assist people connected to the Vanuatu Public Service build their general knowledge and skills and provide advice on HRD policies. PSC training courses are coordinated and managed by VIPAM unit,Annual number of public officials receiving relevant qualifications through VIPAMS and other government programs will determine whether or not there is enough capacity and accountability of public officials and whether or not there is impartiality and effectiveness of the performance management systems.,To depict the total number of public officials receiving relevant qualifications through VIPAM and other government programs each year to identify any increase over the years or not at all.,"* All you need to do is subtract your current year number by last year's number, then divide by last year's number. Then, you multiply the resulting figure by 50, which provides you with a percentage figure.",percentage (%),No,National level,"VIPAM, PSC",Annually
